,	Participate in a short survey to give us feedback	请参加一个简短的问卷调查，将意见反馈给我们
,	Thank you for offering your feedback	感谢您向我们提供意见和建议
,	Understanding your experiences and opinions helps us make this product better for you and other users.	您的使用体验和意见有助于我们改进本产品，从而更好为您和其他用户服务。
,	Completing this survey will take about 3-5 minutes.	填写此问卷大约需 3-5 分钟。
,	You must be at least 18 years old to participate.	只有年满 18 周岁才能参与。
,	We will use your personal information only for purposes of user research and will not share it with anyone else. 	我们只会将您的个人信息用于用户调查，不会与其他任何一方分享。有关我们如何对待用户个人信息的详情，请阅读我们的隐私权政策（链接会在新窗口中打开）。
,	For details on how we treat personal information from users, read our &lt;a href=&quot;http://www.google.com/intl/en/policies/privacy/&quot; target=&quot;_blank&quot;&gt;privacy policy&lt;/a&gt; (link opens in a new window).	有关我们如何对待用户个人信息的详情，请阅读我们的&lt;a href=&quot;http://www.google.com/intl/zh-cn/policies/privacy/&quot; target=&quot;_blank&quot;&gt;隐私权政策&lt;/a&gt;（链接会在新窗口中打开）。
,	In this survey, we would like you to tell us your opinion about the language we use in AdWords Editor. Please note that we would like you to think about the written language provided by AdWords Editor in elements such as buttons, messages, navigation or help text.	本次调查旨在了解用户如何看待 AdWords 编辑器的界面语言质量。请注意，您在发表评价时，请只考虑 AdWords 编辑器中各按钮、消息、导航栏或帮助文字之类的界面元素的语言质量。
,	I confirm: I will give feedback about the written language provided by AdWords Editor	我确认：我将只就 AdWords 编辑器界面的语言质量提供反馈AdWords 编辑器的界面语言是否友好？
,	How friendly or unfriendly is the language used in the AdWords Editor interface?	AdWords 编辑器的界面语言是否友好？
,	By &quot;friendly&quot; we mean that the language used shows that AdWords Editor respects and likes their users.	“友好”指 AdWords 编辑器的界面语言尊重并热爱用户。
,	Very unfriendly	很不友好
,	Rather unfriendly	不太友好
,	Neither unfriendly nor friendly	一般
,	Rather friendly	比较友好
,	Very friendly	很友好
,	Can you tell us what to improve? Any examples or links would help us understand what needs to be changed.	请问，哪些方面需要改进？若能提供一些示例或链接，会更有助于我们了解哪些方面还需要改进。
,	How professional is the language used in the AdWords Editor interface?	AdWords 编辑器的界面语言是否专业？
,	By &quot;professional&quot; we mean that the language is well-written and shows that AdWords Editor cares about quality.	“专业”指界面语言用词准确，表明 AdWords 编辑器注重质量。
,	Not at all professional	一点也不专业
,	Slightly professional	不太专业
,	Moderately professional	一般
,	Very professional	很专业
,	Extremely professional	极其专业
,	Can you tell us what to improve? Any examples or links would help us understand what needs to be changed.	请问，哪些方面需要改进？若能提供一些示例或链接，会更有助于我们了解哪些方面还需要改进。
,	How natural or unnatural is the language used in the AdWords Editor interface? Natural here means that the used language represents the way people normally speak to each other.	AdWords 编辑器的界面语言是否自然？“自然”是指所用语言与人们平常说话的方式相符。
,	Very unnatural	很不自然
,	Rather unnatural	不太自然
,	Neither unnatural nor natural	凑合
,	Rather natural	比较自然
,	Very natural	很自然
,	Can you tell us what to improve? Any examples or links would help us understand what needs to be changed.	请问，哪些方面需要改进？若能提供一些示例或链接，会更有助于我们了解哪些方面还需要改进。
,	How easy or difficult to understand is the language used in the AdWords Editor interface?	AdWords 编辑器的界面语言是否容易理解？
,	Very difficult to understand	很难懂
,	Rather difficult to understand	难懂
,	Neither difficult nor easy to understand	一般
,	Rather easy to understand	易懂
,	Very easy to understand	很易懂
,	Can you tell us what to improve? Any examples or links would help us understand what needs to be changed.	请问，哪些方面需要改进？若能提供一些示例或链接，会更有助于我们了解哪些方面还需要改进。
,	How appropriate or inappropriate do you consider the language used in the AdWords Editor interface?	AdWords 编辑器的界面语言是否恰当？
,	Very inappropriate	很不恰当
,	Rather inappropriate	不太恰当
,	Neither inappropriate nor appropriate	一般
,	Rather appropriate	比较恰当
,	Very appropriate	很恰当
,	Can you tell us what to improve? Any examples or links would help us understand what needs to be changed.	请问，哪些方面需要改进？若能提供一些示例或链接，会更有助于我们了解哪些方面还需要改进。
,	How often do you encounter the following problems in the language used in the AdWords Editor interface?	在 AdWords 编辑器的界面语言中，看到下列问题的频率如何？
,	Text does not make sense or seems wrong	语义不通或者有错误的文字
,	Typos or spelling errors	错别字
,	Words you did not understand	看不懂的文字
,	Words that are in English but that you think should be translated	您认为应该翻译但却没有译的英文
,	Always	总是
,	Often	经常
,	Sometimes	有时
,	Rarely	极少
,	Never	从未看到
,	Can you tell us what to improve? Any examples or links would help us understand what needs to be changed.	请问，哪些方面需要改进？若能提供一些示例或链接，会更有助于我们了解哪些方面还需要改进。
,	How satisfied or dissatisfied are you with the quality of language in the AdWords Editor interface when using English?	使用简体中文版本时，您对 AdWords 编辑器的界面语言质量是否满意？
,	Very dissatisfied	很不满意
,	Rather dissatisfied	不太满意
,	Neither dissatisfied nor satisfied	一般
,	Rather satisfied	比较满意
,	Very satisfied	很满意
,	(optional) If you have comments about the prior questions regarding language quality used in AdWords Editor, you can enter them here:	（可选）如果您需要对之前那些有关 AdWords 编辑器界面语言的问题添加一些备注，请在此填写：
,	(optional) What, if anything, do you find frustrating or unappealing about the language used in the AdWords Editor interface?	（可选）AdWords 编辑器的界面语言中是否有令人不快或反感的地方？
,	Is English the language you speak the best?	您最擅长的语言是简体中文吗？
,	Which of the following languages do you speak best?	您最擅长以下哪种语言？
200,\$	Afrikaans	阿富汗语
200,\$	Amharic	阿姆哈拉语
200,\$	Arabic	阿拉伯语
200,\$	Basque	巴斯克语
200,\$	Bengali	孟加拉语
200,\$	Bulgarian	保加利亚语
200,\$	Catalan	加泰罗尼亚语
200,\$	Chinese (Hong Kong)	中文（香港）
200,\$	Chinese (Simplified)	简体中文
200,\$	Chinese (Traditional)	繁体中文
200,\$	Croatian	克罗地亚语
200,\$	Czech	捷克语
200,\$	Danish	丹麦语
200,\$	Dutch	荷兰语
